word,occurences,classNum,C_N,Unc_N,Sing_N,Plu_N,GrC_N,GrUnc_N,Attr_N,PostPos_N,Voc_N,Proper_N,Exp_N
bags,30,1,N,N,N,Y,N,N,N,N,N,N,N
Bahamas,15,1,N,N,N,N,N,N,N,N,N,Y,N
Bahamian,1,1,Y,N,N,N,N,N,N,N,N,N,N
Bahasa Indonesia,0,1,N,N,N,N,N,N,N,N,N,Y,N
Bahrain,7,1,N,N,N,N,N,N,N,N,N,Y,N
Bahraini,0,1,Y,N,N,N,N,N,N,N,N,N,N
bail,157,1,Y,Y,N,N,N,N,N,N,N,N,N
bailee,1,1,Y,N,N,N,N,N,N,N,N,N,N
bailey,25,1,Y,N,N,N,N,N,N,N,N,N,N
Bailey,0,1,N,N,N,N,N,N,N,N,N,Y,N
Bailey bridge,0,1,Y,N,N,N,N,N,N,N,N,N,N
bailiff,56,1,Y,N,N,N,N,N,N,N,N,N,N
bailment,0,1,Y,N,N,N,N,N,N,N,N,N,N
bailor,1,1,Y,N,N,N,N,N,N,N,N,N,N
bairn,5,1,Y,N,N,N,N,N,N,N,N,N,N
bait,555,1,N,Y,Y,N,N,N,N,N,N,N,N
baize,29,1,N,Y,N,N,N,N,N,N,N,N,N
bakelite,12,1,N,Y,N,N,N,N,N,N,N,N,N
baker,311,1,Y,N,N,N,N,N,N,N,N,N,N
baker's dozen,0,1,Y,N,N,N,N,N,N,N,N,N,N
bakery,83,1,Y,N,N,N,N,N,N,N,N,N,N
baking-powder,0,1,N,Y,N,N,N,N,N,N,N,N,N
baksheesh,3,1,N,Y,N,N,N,N,N,N,N,N,N
balaclava,10,1,Y,N,N,N,N,N,N,N,N,N,N
balalaika,3,1,Y,N,N,N,N,N,N,N,N,N,N
balance,1419,1,Y,Y,Y,N,N,N,N,N,N,N,N
balanced diet,0,1,Y,N,N,N,N,N,N,N,N,N,N
balance of payments,0,1,N,N,Y,N,N,N,N,N,N,N,N
balance of power,0,1,N,N,Y,N,N,N,N,N,N,N,N
balance of trade,0,1,N,N,Y,N,N,N,N,N,N,N,N
balance-sheet,3,1,Y,N,N,N,N,N,N,N,N,N,N
balance-wheel,0,1,Y,N,N,N,N,N,N,N,N,N,N
balcony,235,1,Y,N,N,N,N,N,N,N,N,N,N
balderdash,0,1,N,Y,N,N,N,N,N,N,N,N,N
bald-head,0,1,Y,N,N,N,N,N,N,N,N,N,N
baldness,16,1,N,Y,N,N,N,N,N,N,N,N,N
bald-pate,0,1,Y,N,N,N,N,N,N,N,N,N,N
baldric,0,1,Y,N,N,N,N,N,N,N,N,N,N
bale,57,1,Y,N,N,N,N,N,N,N,N,N,N
balk,0,1,Y,N,N,N,N,N,N,N,N,N,N
ball,1996,1,Y,N,N,N,N,N,N,N,N,N,N
ballad,50,1,Y,N,N,N,N,N,N,N,N,N,N
ballade,5,1,Y,N,N,N,N,N,N,N,N,N,N
ballast,40,1,N,Y,N,N,N,N,N,N,N,N,N
ball-bearing,7,1,Y,N,N,N,N,N,N,N,N,N,N
ball-cartridge,0,1,Y,N,N,N,N,N,N,N,N,N,N
ballcock,2,1,Y,N,N,N,N,N,N,N,N,N,N
ball-dress,0,1,Y,N,N,N,N,N,N,N,N,N,N
ballerina,31,1,Y,N,N,N,N,N,N,N,N,N,N
ballet,286,1,Y,Y,Y,N,N,N,N,N,N,N,N
ballet-dancer,1,1,Y,N,N,N,N,N,N,N,N,N,N
ballet-skirt,0,1,Y,N,N,N,N,N,N,N,N,N,N
ballista,0,1,Y,N,N,N,N,N,N,N,N,N,N
ballistics,2,1,N,Y,N,N,N,N,N,N,N,N,N
balloon,112,1,Y,N,N,N,N,N,N,N,N,N,N
ballooning,1,1,N,Y,N,N,N,N,N,N,N,N,N
balloonist,2,1,Y,N,N,N,N,N,N,N,N,N,N
ballot,173,1,Y,N,Y,N,N,N,N,N,N,N,N
ballot-box,9,1,Y,N,N,N,N,N,N,N,N,N,N
ball-pen,0,1,Y,N,N,N,N,N,N,N,N,N,N
ballpoint,18,1,Y,N,N,N,N,N,N,N,N,N,N
ballpoint-pen,0,1,Y,N,N,N,N,N,N,N,N,N,N
ballroom,57,1,Y,N,N,N,N,N,N,N,N,N,N
balls,31,1,N,Y,N,Y,N,N,N,N,N,N,N
balls-up,4,1,Y,N,N,N,N,N,N,N,N,N,N
ball-up,0,1,Y,N,N,N,N,N,N,N,N,N,N
ballyhoo,5,1,N,Y,N,N,N,N,N,N,N,N,N
balm,24,1,Y,Y,N,N,N,N,N,N,N,N,N
balsa,16,1,Y,Y,N,N,N,N,N,N,N,N,N
balsam,2,1,Y,Y,N,N,N,N,N,N,N,N,N
baluster,5,1,Y,N,N,N,N,N,N,N,N,N,N
balustrade,41,1,Y,N,N,N,N,N,N,N,N,N,N
bambino,3,1,Y,N,N,N,N,N,N,N,N,N,N
bamboo,110,1,Y,Y,N,N,N,N,N,N,N,N,N
bamboo curtain,0,1,N,N,Y,N,N,N,N,N,N,N,N
ban,194,1,Y,N,N,N,N,N,N,N,N,N,N
banality,33,1,Y,Y,N,N,N,N,N,N,N,N,N
banana,151,1,Y,N,N,N,N,N,N,N,N,N,N
banana republic,0,1,Y,N,N,N,N,N,N,N,N,N,N
band,811,1,Y,N,N,N,N,N,N,N,N,N,N
bandage,111,1,Y,N,N,N,N,N,N,N,N,N,N
Band-Aid,6,1,Y,N,N,N,N,N,N,N,N,N,N
Band-Aid,0,1,N,N,N,N,N,N,N,N,N,Y,N
bandanna,10,1,Y,N,N,N,N,N,N,N,N,N,N
bandbox,2,1,Y,N,N,N,N,N,N,N,N,N,N
bandeau,3,1,Y,N,N,N,N,N,N,N,N,N,N
bandit,48,1,Y,N,N,N,N,N,N,N,N,N,N
banditry,1,1,N,Y,N,N,N,N,N,N,N,N,N
bandmaster,0,1,Y,N,N,N,N,N,N,N,N,N,N
bandoleer,3,1,Y,N,N,N,N,N,N,N,N,N,N
band-saw,2,1,Y,N,N,N,N,N,N,N,N,N,N
bandsman,6,1,Y,N,N,N,N,N,N,N,N,N,N
bandstand,20,1,Y,N,N,N,N,N,N,N,N,N,N
bandwagon,16,1,N,N,N,N,N,N,N,N,N,N,Y
bane,17,1,N,N,Y,N,N,N,N,N,N,N,N
bang,147,1,Y,N,N,N,N,N,N,N,N,N,N
banger,21,1,Y,N,N,N,N,N,N,N,N,N,N
Bangladesh,58,1,N,N,N,N,N,N,N,N,N,Y,N
Bangladeshi,1,1,Y,N,N,N,N,N,N,N,N,N,N
bangle,20,1,Y,N,N,N,N,N,N,N,N,N,N
banian,7,1,Y,N,N,N,N,N,N,N,N,N,N
banian-tree,0,1,Y,N,N,N,N,N,N,N,N,N,N
banishment,12,1,N,Y,N,N,N,N,N,N,N,N,N
banister,38,1,Y,N,N,N,N,N,N,N,N,N,N
banjo,8,1,Y,N,N,N,N,N,N,N,N,N,N
bank,3089,1,Y,N,N,N,N,N,N,N,N,N,N
bankbill,0,1,Y,N,N,N,N,N,N,N,N,N,N
bankbook,6,1,Y,N,N,N,N,N,N,N,N,N,N
bank-draft,0,1,Y,N,N,N,N,N,N,N,N,N,N
banker,254,1,Y,N,N,N,N,N,N,N,N,N,N
banker's card,0,1,Y,N,N,N,N,N,N,N,N,N,N
banker's draft,0,1,Y,N,N,N,N,N,N,N,N,N,N
banker's order,0,1,Y,N,N,N,N,N,N,N,N,N,N
bank holiday,0,1,Y,N,N,N,N,N,N,N,N,N,N
banking,143,1,N,Y,N,N,N,N,N,N,N,N,N
banknote,14,1,Y,N,N,N,N,N,N,N,N,N,N
bank-rate,1,1,Y,N,Y,N,N,N,N,N,N,N,N
bankroll,3,1,Y,N,N,N,N,N,N,N,N,N,N
bankrupt,10,1,Y,N,N,N,N,N,N,N,N,N,N
bankruptcy,78,1,Y,Y,N,N,N,N,N,N,N,N,N
banner,178,1,Y,N,N,N,N,N,N,N,N,N,N
banner headline,0,1,Y,N,N,N,N,N,N,N,N,N,N
banning-order,0,1,Y,N,N,N,N,N,N,N,N,N,N
bannock,1,1,Y,N,N,N,N,N,N,N,N,N,N
banns,7,1,N,N,N,Y,N,N,N,N,N,N,N
banquet,90,1,Y,N,N,N,N,N,N,N,N,N,N
banshee,4,1,Y,N,N,N,N,N,N,N,N,N,N
bantam,4,1,Y,N,N,N,N,N,N,N,N,N,N
bantamweight,3,1,Y,N,N,N,N,N,N,N,N,N,N
banter,12,1,N,Y,N,N,N,N,N,N,N,N,N
Bantu,12,1,Y,N,N,N,N,N,N,N,N,N,N
baobab,32,1,Y,N,N,N,N,N,N,N,N,N,N
baobab tree,0,1,Y,N,N,N,N,N,N,N,N,N,N
baptism,41,1,Y,Y,N,N,N,N,N,N,N,N,N
Baptist,56,1,Y,N,N,N,N,N,N,N,N,N,N
bar,1649,1,Y,N,N,N,N,N,N,N,N,N,N
Bar,0,1,N,N,N,N,N,N,N,N,N,Y,N
barb,33,1,Y,N,N,N,N,N,N,N,N,N,N
Barbadian,0,1,Y,N,N,N,N,N,N,N,N,N,N
Barbados,15,1,N,N,N,N,N,N,N,N,N,Y,N
barbarian,42,1,Y,N,N,N,N,N,N,N,N,N,N
barbarism,31,1,Y,Y,N,N,N,N,N,N,N,N,N
barbarity,11,1,Y,Y,N,N,N,N,N,N,N,N,N
barbecue,39,1,Y,N,N,N,N,N,N,N,N,N,N
barbed wire,0,1,N,Y,N,N,N,N,N,N,N,N,N
barbel,29,1,Y,N,N,N,N,N,N,N,N,N,N
barber,134,1,Y,N,N,N,N,N,N,N,N,N,N
barber's pole,0,1,Y,N,N,N,N,N,N,N,N,N,N
barbican,17,1,Y,N,N,N,N,N,N,N,N,N,N
bar billiards,0,1,N,Y,N,N,N,N,N,N,N,N,N
barbitone,0,1,N,Y,N,N,N,N,N,N,N,N,N
barbiturate,14,1,Y,Y,N,N,N,N,N,N,N,N,N
barcarole,0,1,Y,N,N,N,N,N,N,N,N,N,N
bard,12,1,Y,N,N,N,N,N,N,N,N,N,N
bardolatry,0,1,N,Y,N,N,N,N,N,N,N,N,N
bareness,4,1,N,Y,N,N,N,N,N,N,N,N,N
bargain,234,1,Y,N,N,N,N,N,N,N,N,N,N
barge,85,1,Y,N,N,N,N,N,N,N,N,N,N
bargee,0,1,Y,N,N,N,N,N,N,N,N,N,N
bargeman,0,1,Y,N,N,N,N,N,N,N,N,N,N
barge-pole,1,1,Y,N,N,N,N,N,N,N,N,N,N
baritone,21,1,Y,N,N,N,N,N,Y,N,N,N,N
barium,0,1,N,Y,N,N,N,N,N,N,N,N,N
barium meal,0,1,Y,N,N,N,N,N,N,N,N,N,N
bark,3,1,Y,N,N,N,N,N,N,N,N,N,N
bark,27,1,Y,N,N,N,N,N,N,N,N,N,N
bark,96,1,N,Y,N,N,N,N,N,N,N,N,N
barker,67,1,Y,N,N,N,N,N,N,N,N,N,N
barley,174,1,N,Y,N,N,N,N,N,N,N,N,N
barleycorn,0,1,Y,N,N,N,N,N,N,N,N,N,N
barley-sugar,2,1,Y,Y,N,N,N,N,N,N,N,N,N
barley-water,0,1,N,Y,N,N,N,N,N,N,N,N,N
barley wine,0,1,N,Y,N,N,N,N,N,N,N,N,N
barm,0,1,N,Y,N,N,N,N,N,N,N,N,N
barmaid,24,1,Y,N,N,N,N,N,N,N,Y,N,N
barman,103,1,Y,N,N,N,N,N,N,N,Y,N,N
bar mitzvah,0,1,Y,N,N,N,N,N,N,N,N,N,N
barn,226,1,Y,N,N,N,N,N,N,N,N,N,N
barnacle,9,1,Y,N,N,N,N,N,N,N,N,N,N
barn dance,0,1,Y,N,N,N,N,N,N,N,N,N,N
barn-door,2,1,Y,N,N,N,N,N,N,N,N,N,N
barnstormer,0,1,Y,N,N,N,N,N,N,N,N,N,N
barnyard,11,1,Y,N,N,N,N,N,N,N,N,N,N
barograph,0,1,Y,N,N,N,N,N,N,N,N,N,N
barometer,17,1,Y,N,N,N,N,N,N,N,N,N,N
baron,153,1,Y,N,N,N,N,N,Y,N,N,N,N
baronage,0,1,Y,N,N,N,N,N,N,N,N,N,N
baroness,29,1,Y,N,N,N,N,N,Y,N,N,N,N
baronet,14,1,Y,N,N,N,N,N,N,N,N,N,N
baronetcy,7,1,Y,N,N,N,N,N,N,N,N,N,N
barony,1,1,Y,N,N,N,N,N,N,N,N,N,N
baroque,26,1,N,N,Y,N,N,N,N,N,N,N,N
barouche,0,1,Y,N,N,N,N,N,N,N,N,N,N
bar parlour,0,1,Y,N,N,N,N,N,N,N,N,N,N
barrack,22,1,Y,N,N,N,N,N,N,N,N,N,N
barracking,7,1,N,Y,N,N,N,N,N,N,N,N,N
barracks,76,1,Y,N,N,N,N,N,N,N,N,N,N
barracuda,6,1,Y,N,N,N,N,N,N,N,N,N,N
barrage,122,1,Y,N,N,N,N,N,N,N,N,N,N
barrel,379,1,Y,N,N,N,N,N,N,N,N,N,N
barrel organ,0,1,Y,N,N,N,N,N,N,N,N,N,N
barrenness,3,1,N,Y,N,N,N,N,N,N,N,N,N
barricade,53,1,Y,N,N,N,N,N,N,N,N,N,N
barricades,6,1,N,N,N,Y,N,N,N,N,N,N,N
barrier,541,1,Y,N,N,N,N,N,N,N,N,N,N
barrister,102,1,Y,N,N,N,N,N,N,N,N,N,N
barrow,65,1,Y,N,N,N,N,N,N,N,N,N,N
barrow-boy,2,1,Y,N,N,N,N,N,N,N,N,N,N
barrow-man,0,1,Y,N,N,N,N,N,N,N,N,N,N
bar sinister,0,1,N,N,Y,N,N,N,N,N,N,N,N
bartender,43,1,Y,N,N,N,N,N,N,N,Y,N,N
barter,10,1,N,Y,N,N,N,N,N,N,N,N,N
barterer,0,1,Y,N,N,N,N,N,N,N,N,N,N
basalt,7,1,N,Y,N,N,N,N,N,N,N,N,N
bascule,2,1,Y,N,N,N,N,N,N,N,N,N,N
base,1432,1,Y,N,N,N,N,N,N,N,N,N,N
baseball,110,1,Y,Y,N,N,N,N,N,N,N,N,N
baseboard,1,1,Y,N,N,N,N,N,N,N,N,N,N
baseline,6,1,Y,N,N,N,N,N,N,N,N,N,N
basement,236,1,Y,N,N,N,N,N,N,N,N,N,N
base metal,0,1,Y,N,N,N,N,N,N,N,N,N,N
baseness,6,1,N,Y,N,N,N,N,N,N,N,N,N
bash,10,1,Y,N,N,N,N,N,N,N,N,N,N
bashfulness,1,1,N,Y,N,N,N,N,N,N,N,N,N
Basic English,0,1,N,N,Y,N,N,N,N,N,N,N,N
basics,52,1,N,N,N,Y,N,N,N,N,N,N,N
basil,76,1,N,Y,N,N,N,N,N,N,N,N,N
basilica,12,1,Y,N,N,N,N,N,N,N,N,N,N
basilisk,1,1,Y,N,N,N,N,N,N,N,N,N,N
basin,341,1,Y,N,N,N,N,N,N,N,N,N,N
basis,1499,1,Y,N,N,N,N,N,N,N,N,N,N
basket,428,1,Y,N,N,N,N,N,N,N,N,N,N
basketball,44,1,Y,Y,N,N,N,N,N,N,N,N,N
basketful,3,1,Y,N,N,N,N,N,N,N,N,N,N
basketry,7,1,N,Y,N,N,N,N,N,N,N,N,N
basketwork,4,1,N,Y,N,N,N,N,N,N,N,N,N
bas-relief,9,1,Y,Y,N,N,N,N,N,N,N,N,N
bass,83,1,Y,N,N,N,N,N,Y,N,N,N,N
bass,66,1,Y,N,N,N,N,N,N,N,N,N,N
Bass,9,1,N,N,N,N,N,N,N,N,N,Y,N
bass clef,0,1,Y,N,N,N,N,N,N,N,N,N,N
basset,4,1,Y,N,N,N,N,N,N,N,N,N,N
basset horn,0,1,Y,N,N,N,N,N,N,N,N,N,N
basset hound,0,1,Y,N,N,N,N,N,N,N,N,N,N
bassinet,2,1,Y,N,N,N,N,N,N,N,N,N,N
bassoon,6,1,Y,N,N,N,N,N,N,N,N,N,N
bast,3,1,N,Y,N,N,N,N,N,N,N,N,N
bastard,480,1,Y,N,N,N,N,N,N,N,Y,N,N
bastardization,1,1,N,Y,N,N,N,N,N,N,N,N,N
bastardy,8,1,N,Y,N,N,N,N,N,N,N,N,N
bast fibre,0,1,N,Y,N,N,N,N,N,N,N,N,N
bastinado,0,1,Y,N,N,N,N,N,N,N,N,N,N
bastion,47,1,Y,N,N,N,N,N,N,N,N,N,N
bat,258,1,Y,N,N,N,N,N,N,N,N,N,N
batch,91,1,Y,N,N,N,N,N,N,N,N,N,N
bath,835,1,Y,N,N,N,N,N,N,N,N,N,N
Bath,133,1,N,N,N,N,N,N,N,N,N,Y,N
Bath-chair,1,1,Y,N,N,N,N,N,N,N,N,N,N
bathe,5,1,N,N,Y,N,N,N,N,N,N,N,N
bather,17,1,Y,N,N,N,N,N,N,N,N,N,N
bathing,88,1,N,Y,N,N,N,N,N,N,N,N,N
bathing beauty,0,1,Y,N,N,N,N,N,N,N,N,N,N
bathing-cap,4,1,Y,N,N,N,N,N,N,N,N,N,N
bathing-costume,0,1,Y,N,N,N,N,N,N,N,N,N,N
bathing-machine,0,1,Y,N,N,N,N,N,N,N,N,N,N
bathing-suit,2,1,Y,N,N,N,N,N,N,N,N,N,N
bath mat,0,1,Y,N,N,N,N,N,N,N,N,N,N
bathos,2,1,N,Y,N,N,N,N,N,N,N,N,N
bathrobe,43,1,Y,N,N,N,N,N,N,N,N,N,N
bathroom,671,1,Y,N,N,N,N,N,N,N,N,N,N
baths,92,1,Y,N,N,N,N,N,N,N,N,N,N
bathtub,34,1,Y,N,N,N,N,N,N,N,N,N,N
bathysphere,0,1,Y,N,N,N,N,N,N,N,N,N,N
batik,17,1,Y,Y,N,N,N,N,N,N,N,N,N
batiste,0,1,N,Y,N,N,N,N,N,N,N,N,N
batman,8,1,Y,N,N,N,N,N,N,N,N,N,N
baton,91,1,Y,N,N,N,N,N,N,N,N,N,N
batsman,140,1,Y,N,N,N,N,N,N,N,N,N,N
battalion,183,1,N,N,N,N,Y,N,N,N,N,N,N
batten,21,1,Y,N,N,N,N,N,N,N,N,N,N
batter,52,1,Y,Y,N,N,N,N,N,N,N,N,N
battering ram,0,1,Y,N,N,N,N,N,N,N,N,N,N
battery,478,1,Y,Y,N,N,N,N,N,N,N,N,N
battiness,1,1,N,Y,N,N,N,N,N,N,N,N,N
batting,31,1,N,Y,N,N,N,N,N,N,N,N,N
batting crease,0,1,Y,N,N,N,N,N,N,N,N,N,N
battle,1454,1,Y,Y,Y,N,N,N,N,N,N,N,N
battle-axe,12,1,Y,N,N,N,N,N,N,N,N,N,N
battle-cruiser,1,1,Y,N,N,N,N,N,N,N,N,N,N
battle cry,0,1,Y,N,N,N,N,N,N,N,N,N,N
battledore,2,1,Y,N,N,N,N,N,N,N,N,N,N
battledress,2,1,N,N,Y,N,N,N,N,N,N,N,N
battlefield,171,1,Y,N,N,N,N,N,N,N,N,N,N
battleground,20,1,Y,N,N,N,N,N,N,N,N,N,N
battlements,24,1,N,N,N,Y,N,N,N,N,N,N,N
battleship,37,1,Y,N,N,N,N,N,N,N,N,N,N
battue,1,1,Y,N,N,N,N,N,N,N,N,N,N
bauble,13,1,Y,N,N,N,N,N,N,N,N,N,N
bauxite,20,1,N,Y,N,N,N,N,N,N,N,N,N
bawbee,0,1,Y,N,N,N,N,N,N,N,N,N,N
bawd,0,1,Y,N,N,N,N,N,N,N,N,N,N
bawdiness,0,1,N,Y,N,N,N,N,N,N,N,N,N
bawdy,4,1,N,Y,N,N,N,N,N,N,N,N,N
bay,566,1,Y,N,N,N,N,N,N,N,N,N,N
bay leaf,0,1,Y,N,N,N,N,N,N,N,N,N,N
bayonet,55,1,Y,N,N,N,N,N,N,N,N,N,N
bayou,5,1,Y,N,N,N,N,N,N,N,N,N,N
bay rum,0,1,N,Y,N,N,N,N,N,N,N,N,N
bay tree,0,1,Y,N,N,N,N,N,N,N,N,N,N
bay window,0,1,Y,N,N,N,N,N,N,N,N,N,N
bay-wreath,0,1,Y,N,N,N,N,N,N,N,N,N,N
bazaar,123,1,Y,N,N,N,N,N,N,N,N,N,N
bazooka,14,1,Y,N,N,N,N,N,N,N,N,N,N
beach,1449,1,Y,N,N,N,N,N,N,N,N,N,N
beach ball,0,1,Y,N,N,N,N,N,N,N,N,N,N
beach buggy,0,1,Y,N,N,N,N,N,N,N,N,N,N
beachcomber,4,1,Y,N,N,N,N,N,N,N,N,N,N
beachhead,1,1,Y,N,N,N,N,N,N,N,N,N,N
beachwear,1,1,N,Y,N,N,N,N,N,N,N,N,N
beacon,50,1,Y,N,N,N,N,N,N,N,N,N,N
beacon-fire,0,1,Y,N,N,N,N,N,N,N,N,N,N
beacon-light,0,1,Y,N,N,N,N,N,N,N,N,N,N
bead,197,1,Y,N,N,N,N,N,N,N,N,N,N
bead curtain,0,1,Y,N,N,N,N,N,N,N,N,N,N
beading,4,1,Y,Y,N,N,N,N,N,N,N,N,N
beadle,5,1,Y,N,N,N,N,N,N,N,N,N,N
beagle,26,1,Y,N,N,N,N,N,N,N,N,N,N
beagling,3,1,N,Y,N,N,N,N,N,N,N,N,N
beak,120,1,Y,N,N,N,N,N,N,N,N,N,N
beaker,33,1,Y,N,N,N,N,N,N,N,N,N,N
be-all and end-all,0,1,N,N,Y,N,N,N,N,N,N,N,N
beam,246,1,Y,N,N,N,N,N,N,N,N,N,N
beam-ends,0,1,N,N,N,N,N,N,N,N,N,N,Y
bean,388,1,Y,N,N,N,N,N,N,N,N,N,N
bean-feast,0,1,Y,N,N,N,N,N,N,N,N,N,N
beano,5,1,Y,N,N,N,N,N,N,N,N,N,N
beanpole,4,1,Y,N,N,N,N,N,N,N,N,N,N
beanstalk,6,1,Y,N,N,N,N,N,N,N,N,N,N
bear,290,1,Y,N,N,N,N,N,N,N,N,N,N
beard,449,1,Y,N,N,N,N,N,N,N,N,N,N
bearer,92,1,Y,N,N,N,N,N,N,N,N,N,N
bear hug,0,1,Y,N,N,N,N,N,N,N,N,N,N
bearing,131,1,Y,Y,Y,N,N,N,N,N,N,N,N
bearings,18,1,N,N,N,Y,N,N,N,N,N,N,N
bearishness,0,1,N,Y,N,N,N,N,N,N,N,N,N
bearskin,6,1,Y,Y,N,N,N,N,N,N,N,N,N
beast,492,1,Y,N,N,N,N,N,N,N,Y,N,N
beastliness,4,1,N,Y,N,N,N,N,N,N,N,N,N
beast of burden,0,1,Y,N,N,N,N,N,N,N,N,N,N
beast of prey,0,1,Y,N,N,N,N,N,N,N,N,N,N
beat,192,1,Y,N,Y,N,N,N,N,N,N,N,N
beater,19,1,Y,N,N,N,N,N,N,N,N,N,N
beatification,1,1,Y,Y,N,N,N,N,N,N,N,N,N
beating,136,1,Y,Y,N,N,N,N,N,N,N,N,N
beatitude,10,1,Y,Y,N,N,N,N,N,N,N,N,N
beatnik,24,1,Y,N,N,N,N,N,N,N,N,N,N
beau,46,1,Y,N,N,N,N,N,N,N,N,N,N
Beaujolais,10,1,N,Y,N,N,N,N,N,N,N,N,N
beau monde,0,1,N,N,Y,N,N,N,N,N,N,N,N
beaut,2,1,Y,N,N,N,N,N,N,N,N,N,N
beautician,6,1,Y,N,N,N,N,N,N,N,N,N,N
beauty,1043,1,Y,Y,N,N,N,N,N,N,N,N,N
beauty-parlour,1,1,Y,N,N,N,N,N,N,N,N,N,N
beauty queen,0,1,Y,N,N,N,N,N,N,N,N,N,N
beauty-salon,0,1,Y,N,N,N,N,N,N,N,N,N,N
beauty shop,0,1,Y,N,N,N,N,N,N,N,N,N,N
beauty-sleep,0,1,N,Y,N,N,N,N,N,N,N,N,N
beauty-spot,0,1,Y,N,N,N,N,N,N,N,N,N,N
beaver,51,1,Y,Y,N,N,N,N,N,N,N,N,N
bebop,3,1,N,Y,N,N,N,N,N,N,N,N,N
beck,9,1,N,N,N,N,N,N,N,N,N,N,Y
beck,5,1,Y,N,N,N,N,N,N,N,N,N,Y
bed,4831,1,Y,Y,N,N,N,N,N,N,N,N,N
bed and board,0,1,N,Y,N,N,N,N,N,N,N,N,N
bed and breakfast,0,1,N,Y,N,N,N,N,N,N,N,N,N
bedbug,5,1,Y,N,N,N,N,N,N,N,N,N,N
bedclothes,60,1,N,N,N,Y,N,N,N,N,N,N,N
bedding,51,1,N,Y,N,N,N,N,N,N,N,N,N
bedevilment,0,1,N,Y,N,N,N,N,N,N,N,N,N
bedfellow,17,1,Y,N,N,N,N,N,N,N,N,N,N
bedlam,24,1,Y,Y,Y,N,N,N,N,N,N,N,N
bed linen,0,1,Y,N,N,N,N,N,N,N,N,N,N
bedouin,42,1,Y,N,N,N,N,N,N,N,N,N,N
bedpan,7,1,Y,N,N,N,N,N,N,N,N,N,N
bedpost,0,1,Y,N,N,N,N,N,N,N,N,N,N
bedrock,23,1,N,Y,N,N,N,N,N,N,N,N,N
bed-roll,1,1,Y,N,N,N,N,N,N,N,N,N,N
bedroom,1154,1,Y,N,N,N,N,N,Y,N,N,N,N
bedside,157,1,Y,N,N,N,N,N,N,N,N,N,N
bedside manner,0,1,Y,N,N,N,N,N,N,N,N,N,N
bedsit,5,1,Y,N,N,N,N,N,N,N,N,N,N
bedsitter,39,1,Y,N,N,N,N,N,N,N,N,N,N
bedsitting-room,1,1,Y,N,N,N,N,N,N,N,N,N,N
bedsore,0,1,Y,N,N,N,N,N,N,N,N,N,N
bedspread,37,1,Y,N,N,N,N,N,N,N,N,N,N
bedstead,26,1,Y,N,N,N,N,N,N,N,N,N,N
bedtime,97,1,Y,Y,N,N,N,N,N,N,N,N,N
bee,298,1,Y,N,N,N,N,N,N,N,N,N,N
beech,203,1,Y,Y,N,N,N,N,N,N,N,N,N
beech mast,0,1,N,Y,N,N,N,N,N,N,N,N,N
beef,23,1,Y,N,N,N,N,N,N,N,N,N,N
beef,273,1,Y,Y,N,N,N,N,N,N,N,N,N
beefcake,1,1,N,Y,N,N,N,N,N,N,N,N,N
beef cattle,0,1,N,N,N,Y,N,N,N,N,N,N,N
beefeater,6,1,Y,N,N,N,N,N,N,N,N,N,N
beefsteak,6,1,Y,N,N,N,N,N,N,N,N,N,N
beef tea,0,1,N,Y,N,N,N,N,N,N,N,N,N
beehive,36,1,Y,N,N,N,N,N,N,N,N,N,N
beeline,2,1,N,N,N,N,N,N,N,N,N,N,Y
beep,15,1,Y,N,N,N,N,N,N,N,N,N,N
beer,872,1,Y,Y,N,N,N,N,N,N,N,N,N
beer money,0,1,N,Y,N,N,N,N,N,N,N,N,N
beeswax,8,1,N,Y,N,N,N,N,N,N,N,N,N
beet,58,1,Y,N,N,N,N,N,N,N,N,N,N
beetle,147,1,Y,N,N,N,N,N,N,N,N,N,N
beetle brows,0,1,N,N,N,Y,N,N,N,N,N,N,N
beetroot,34,1,Y,Y,N,N,N,N,N,N,N,N,N
begetter,5,1,Y,N,N,N,N,N,N,N,N,N,N
beggar,66,1,Y,N,N,N,N,N,N,N,N,N,N
beggarliness,0,1,N,Y,N,N,N,N,N,N,N,N,N
beggarman,1,1,Y,N,N,N,N,N,N,N,N,N,N
beggarwoman,0,1,Y,N,N,N,N,N,N,N,N,N,N
beggary,2,1,N,Y,N,N,N,N,N,N,N,N,N
beginner,133,1,Y,N,N,N,N,N,N,N,N,N,N
beginning,1361,1,Y,Y,N,N,N,N,N,N,N,N,N
Begon,6,1,N,N,N,N,N,N,N,N,N,Y,N
begonia,4,1,Y,N,N,N,N,N,N,N,N,N,N
beguilement,1,1,N,Y,N,N,N,N,N,N,N,N,N
begum,1,1,Y,N,N,N,N,N,N,N,N,N,N
behalf,366,1,N,N,N,N,N,N,N,N,N,N,Y
behaviour,1648,1,N,Y,N,N,N,N,N,N,N,N,N
behaviourism,9,1,N,Y,N,N,N,N,N,N,N,N,N
behaviourist,11,1,Y,N,N,N,N,N,N,N,N,N,N
Behemoth,7,1,Y,N,Y,N,N,N,N,N,N,N,N
Behemoth,1,1,N,N,N,N,N,N,N,N,N,Y,N
behest,14,1,Y,N,N,N,N,N,N,N,N,N,N
behind,5,1,Y,N,N,N,N,N,N,N,N,N,N
