word,occurences,classNum,C_N,Unc_N,Sing_N,Plu_N,GrC_N,GrUnc_N,Attr_N,PostPos_N,Voc_N,Proper_N,Exp_N
accession,26,1,Y,Y,N,N,N,N,N,N,N,N,N
accessory,61,1,Y,N,N,N,N,N,N,N,N,N,N
accidence,0,1,N,Y,N,N,N,N,N,N,N,N,N
accident,1249,1,Y,Y,N,N,N,N,N,N,N,N,N
acclaim,35,1,N,Y,N,N,N,N,N,N,N,N,N
acclamation,6,1,N,Y,N,N,N,N,N,N,N,N,N
acclimation,0,1,N,Y,N,N,N,N,N,N,N,N,N
acclimatization,6,1,N,Y,N,N,N,N,N,N,N,N,N
acclivity,1,1,Y,N,N,N,N,N,N,N,N,N,N
accolade,25,1,Y,N,N,N,N,N,N,N,N,N,N
accommodation,607,1,Y,Y,N,N,N,N,N,N,N,N,N
accommodations,5,1,N,N,N,Y,N,N,N,N,N,N,N
accompaniment,79,1,Y,N,N,N,N,N,N,N,N,N,N
accompanist,4,1,Y,N,N,N,N,N,N,N,N,N,N
accomplice,60,1,Y,N,N,N,N,N,N,N,N,N,N
accomplished fact,0,1,N,N,Y,N,N,N,N,N,N,N,N
accomplishment,91,1,Y,Y,N,N,N,N,N,N,N,N,N
accord,109,1,Y,Y,N,N,N,N,N,N,N,N,N
accordance,134,1,N,Y,N,N,N,N,N,N,N,N,N
accordion,18,1,Y,N,N,N,N,N,N,N,N,N,N
accouchement,0,1,Y,N,N,N,N,N,N,N,N,N,N
account,2364,1,Y,Y,N,N,N,N,N,N,N,N,N
accountancy,55,1,N,Y,N,N,N,N,N,N,N,N,N
accountant,193,1,Y,N,N,N,N,N,N,N,N,N,N
accoutrements,10,1,N,N,N,Y,N,N,N,N,N,N,N
accretion,13,1,Y,Y,N,N,N,N,N,N,N,N,N
accumulation,123,1,Y,Y,N,N,N,N,N,N,N,N,N
accumulator,7,1,Y,N,N,N,N,N,N,N,N,N,N
accuracy,235,1,Y,Y,N,N,N,N,N,N,N,N,N
accusation,216,1,Y,Y,N,N,N,N,N,N,N,N,N
accusative,3,1,Y,N,N,N,N,N,N,N,N,N,N
accused,65,1,N,N,N,N,N,Y,N,N,N,N,N
accuser,33,1,Y,N,N,N,N,N,N,N,N,N,N
ace,81,1,Y,N,N,N,N,N,N,N,N,N,N
acerbity,1,1,Y,Y,N,N,N,N,N,N,N,N,N
acetate,13,1,N,Y,N,N,N,N,N,N,N,N,N
acetic acid,0,1,N,Y,N,N,N,N,N,N,N,N,N
acetyl,0,1,N,Y,N,N,N,N,Y,N,N,N,N
acetylene,4,1,N,Y,N,N,N,N,N,N,N,N,N
ache,86,1,Y,N,N,N,N,N,N,N,N,N,N
achievement,713,1,Y,Y,N,N,N,N,N,N,N,N,N
Achilles,62,1,N,N,N,N,N,N,N,N,N,Y,N
Achilles' heel,0,1,Y,N,Y,N,N,N,N,N,N,N,N
Achilles tendon,0,1,Y,N,N,N,N,N,N,N,N,N,N
acid,384,1,Y,Y,N,N,N,N,N,N,N,N,N
acidity,25,1,N,Y,N,N,N,N,N,N,N,N,N
acid test,0,1,Y,N,N,N,N,N,N,N,N,N,N
ack-ack,0,1,Y,Y,N,N,N,N,N,N,N,N,N
acknowledgement,84,1,Y,Y,N,N,N,N,N,N,N,N,N
acme,8,1,N,N,Y,N,N,N,N,N,N,N,N
acne,13,1,N,Y,N,N,N,N,N,N,N,N,N
acolyte,18,1,Y,N,N,N,N,N,N,N,N,N,N
aconite,19,1,Y,Y,N,N,N,N,N,N,N,N,N
acorn,29,1,Y,N,N,N,N,N,N,N,N,N,N
acorn-cup,0,1,Y,N,N,N,N,N,N,N,N,N,N
acoustic,17,1,Y,N,N,N,N,N,N,N,N,N,N
acoustics,3,1,N,Y,N,Y,N,N,N,N,N,N,N
acquaintance,310,1,Y,Y,Y,N,N,N,N,N,N,N,N
acquaintanceship,13,1,Y,N,Y,N,N,N,N,N,N,N,N
acquiescence,28,1,N,Y,N,N,N,N,N,N,N,N,N
acquired taste,0,1,Y,N,N,N,N,N,N,N,N,N,N
acquirement,1,1,Y,Y,N,N,N,N,N,N,N,N,N
acquisition,221,1,Y,Y,N,N,N,N,N,N,N,N,N
acquisitiveness,5,1,N,Y,N,N,N,N,N,N,N,N,N
acquittal,22,1,Y,Y,N,N,N,N,N,N,N,N,N
acre,681,1,Y,N,N,N,N,N,N,N,N,N,N
acreage,31,1,N,Y,Y,N,N,N,N,N,N,N,N
acrimony,9,1,N,Y,N,N,N,N,N,N,N,N,N
acrobat,19,1,Y,N,N,N,N,N,N,N,N,N,N
acrobatics,9,1,N,Y,N,Y,N,N,N,N,N,N,N
acronym,11,1,Y,N,N,N,N,N,N,N,N,N,N
Acropolis,7,1,N,N,N,N,N,N,N,N,N,Y,N
acropolis,9,1,Y,N,N,N,N,N,N,N,N,N,N
acrostic,0,1,Y,N,N,N,N,N,N,N,N,N,N
acrylic,13,1,Y,N,N,N,N,N,N,N,N,N,N
acrylic fibre,0,1,Y,Y,N,N,N,N,N,N,N,N,N
act,2761,1,Y,N,N,N,N,N,N,N,N,N,N
acting,284,1,N,Y,N,N,N,N,N,N,N,N,N
actinism,0,1,N,Y,N,N,N,N,N,N,N,N,N
action,4145,1,Y,Y,Y,N,N,N,N,N,N,N,N
action painting,0,1,N,Y,N,N,N,N,N,N,N,N,N
activation,13,1,N,Y,N,N,N,N,N,N,N,N,N
active,0,1,N,N,Y,N,N,N,N,N,N,N,N
active service,0,1,N,Y,N,N,N,N,N,N,N,N,Y
active voice,0,1,N,N,Y,N,N,N,N,N,N,N,N
activist,266,1,Y,N,N,N,N,N,N,N,N,N,N
activity,2848,1,Y,Y,N,N,N,N,N,N,N,N,N
act of God,0,1,Y,N,N,N,N,N,N,N,N,N,N
actor,1498,1,Y,N,N,N,N,N,N,N,N,N,N
actress,356,1,Y,N,N,N,N,N,N,N,N,N,N
